query_id,request_id,query_words,relevant_docs,bm25_ndcg10,first_ndcg10,prp_ndcg10,first_minus_bm25,first_minus_prp,bucket
PLAIN-3151,nfcorpus-PLAIN-3151,10,18,0.20632975263545592,0.6866463109607734,0.6840795453772195,0.4803165583253175,0.002566765583553954,gain
PLAIN-3161,nfcorpus-PLAIN-3161,6,43,0.4752115325793111,0.5965206080511133,0.6060284849319915,0.1213090754718022,-0.009507876880878174,gain
PLAIN-3171,nfcorpus-PLAIN-3171,3,34,0.23497571470289355,0.19472593371115676,0.1915026514374675,-0.04024978099173679,0.0032232822736892597,loss
PLAIN-3181,nfcorpus-PLAIN-3181,6,27,0.0,0.06625422345438903,0.0,0.06625422345438903,0.06625422345438903,gain
PLAIN-3191,nfcorpus-PLAIN-3191,5,16,0.1813000568666309,0.3359320422493133,0.3753137925456814,0.15463198538268239,-0.039381750296368145,gain
PLAIN-3201,nfcorpus-PLAIN-3201,4,32,0.2724154706688162,0.4129233019281172,0.28192888494377455,0.140507831259301,0.13099441698434267,gain
PLAIN-3211,nfcorpus-PLAIN-3211,3,18,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-3221,nfcorpus-PLAIN-3221,4,24,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-3231,nfcorpus-PLAIN-3231,4,8,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-3241,nfcorpus-PLAIN-3241,4,29,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-3251,nfcorpus-PLAIN-3251,2,21,0.06425604298318155,0.17240394387374433,0.18038951854077967,0.10814790089056278,-0.007985574667035339,gain
PLAIN-3261,nfcorpus-PLAIN-3261,3,13,0.14982420171299154,0.14982420171299154,0.14982420171299154,0.0,0.0,tie
PLAIN-3271,nfcorpus-PLAIN-3271,5,49,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-3281,nfcorpus-PLAIN-3281,5,26,0.3239134396887189,0.3239134396887189,0.20436662668128655,0.0,0.11954681300743233,tie
PLAIN-3292,nfcorpus-PLAIN-3292,5,7,0.43550531417821603,0.5163548804387819,0.5561425340750157,0.08084956626056583,-0.03978765363623382,gain
PLAIN-3302,nfcorpus-PLAIN-3302,2,37,0.2942026330205877,0.20400787375019783,0.34634689786714556,-0.09019475927038986,-0.14233902411694774,loss
PLAIN-3312,nfcorpus-PLAIN-3312,4,13,0.12065389290783829,0.24350895412712073,0.19934217403734153,0.12285506121928244,0.0441667800897792,gain
PLAIN-3322,nfcorpus-PLAIN-3322,3,79,0.08514311764162098,0.07839826897867533,0.08514311764162098,-0.0067448486629456544,-0.0067448486629456544,loss
PLAIN-3332,nfcorpus-PLAIN-3332,4,14,0.30890160450714277,0.4227147189869508,0.6190895668159158,0.11381311447980802,-0.19637484782896497,gain
PLAIN-3342,nfcorpus-PLAIN-3342,6,3,0.7653606369886217,0.9010126104210695,0.46927872602275644,0.13565197343244784,0.43173388439831306,gain
PLAIN-3352,nfcorpus-PLAIN-3352,4,39,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-3362,nfcorpus-PLAIN-3362,3,11,0.5282800663700055,0.5880534728737216,0.5880534728737216,0.0597734065037161,0.0,gain
PLAIN-3372,nfcorpus-PLAIN-3372,3,14,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-3382,nfcorpus-PLAIN-3382,6,14,0.2664628585461853,0.3338909958444282,0.34511839310718245,0.06742813729824293,-0.011227397262754235,gain
PLAIN-3392,nfcorpus-PLAIN-3392,3,23,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-3402,nfcorpus-PLAIN-3402,5,14,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-3412,nfcorpus-PLAIN-3412,4,49,0.2707385241236823,0.21964686745336068,0.37533945414825326,-0.051091656670321645,-0.15569258669489258,loss
PLAIN-3422,nfcorpus-PLAIN-3422,4,31,0.035427698077529615,0.03401953804980575,0.07845884372062176,-0.0014081600277238634,-0.044439305670816005,loss
PLAIN-3432,nfcorpus-PLAIN-3432,3,42,0.31204907722178066,0.20248323207250624,0.16421958630632802,-0.10956584514927442,0.03826364576617822,loss
PLAIN-3442,nfcorpus-PLAIN-3442,3,29,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-3452,nfcorpus-PLAIN-3452,3,17,0.5647652605605431,0.5768260756109673,0.5768260756109673,0.012060815050424223,0.0,gain
PLAIN-3462,nfcorpus-PLAIN-3462,5,64,0.6363762929310753,0.6253338941235216,0.6929852696575346,-0.011042398807553755,-0.06765137553401301,loss
PLAIN-3472,nfcorpus-PLAIN-3472,9,17,0.0,0.0,0.0,0.0,0.0,tie
